pop1,pop2,pop3,pop4,est,se,z,p,n
CoyoteCalifornia,Pomeranian,AndeanFox,Castlemaine.99bp,0.0240612604521733,0.000216442093446016,111.167195202603,0,1469790
CoyoteCalifornia,Pomeranian,AndeanFox,Meredith.99bp,0.0250686220936294,0.000213297201963106,117.529071468859,0,1582945
CoyoteCalifornia,Poodle,AndeanFox,FernCave.100bp,0.0244006666381777,0.000622710833776178,39.1845866727735,0,70203
CoyoteCalifornia,Poodle,AndeanFox,Castlemaine.99bp,0.0242900400566585,0.000216936346455805,111.968512669715,0,1460681
CoyoteCalifornia,Poodle,AndeanFox,Meredith.99bp,0.0251417161057157,0.000213836904659289,117.574261308049,0,1575509
CoyoteCalifornia,PortuguesePodengo,AndeanFox,FernCave.100bp,0.0246967807753344,0.000616854168681752,40.0366602500436,0,70576
CoyoteCalifornia,PortuguesePodengo,AndeanFox,Castlemaine.99bp,0.0242352655051047,0.000224814083668818,107.801366843221,0,1463776
CoyoteCalifornia,PortuguesePodengo,AndeanFox,Meredith.99bp,0.025019166612237,0.00021640329106335,115.613614235252,0,1576961
CoyoteCalifornia,PortugueseWaterDog,AndeanFox,FernCave.100bp,0.0246899317079547,0.000587077922176579,42.0556297133731,0,71409
CoyoteCalifornia,PortugueseWaterDog,AndeanFox,Castlemaine.99bp,0.0242960641485141,0.00021329636179575,113.907541338092,0,1490749
CoyoteCalifornia,PortugueseWaterDog,AndeanFox,Meredith.99bp,0.0251145007712066,0.000208095649443665,120.687293743762,0,1595768
CoyoteCalifornia,Pug,AndeanFox,FernCave.100bp,0.0239753619664658,0.00062620702652797,38.2866383652674,0,69919
CoyoteCalifornia,Pug,AndeanFox,Castlemaine.99bp,0.0241311060296821,0.000217503218570618,110.945972148211,0,1453222
CoyoteCalifornia,Pug,AndeanFox,Meredith.99bp,0.0249264857323649,0.000212055007640969,117.547262899672,0,1566646
CoyoteCalifornia,QingchuanDog,AndeanFox,FernCave.100bp,0.0197690580562383,0.000736461614103789,26.8432972983874,1.00999889701884e-158,46765
CoyoteCalifornia,QingchuanDog,AndeanFox,Castlemaine.99bp,0.0200147612579579,0.000222184934351365,90.0815409307025,0,950461
CoyoteCalifornia,QingchuanDog,AndeanFox,Meredith.99bp,0.0206541344544916,0.000220413673142083,93.7062304713627,0,1088874
CoyoteCalifornia,RhodesianRidgeback,AndeanFox,FernCave.100bp,0.024173843030176,0.000593614882376157,40.7231081091019,0,71415
CoyoteCalifornia,RhodesianRidgeback,AndeanFox,Castlemaine.99bp,0.024266684390577,0.000216488865134866,112.092067069868,0,1491394
CoyoteCalifornia,RhodesianRidgeback,AndeanFox,Meredith.99bp,0.0250553840826344,0.000211193879291672,118.636885532234,0,1595976
CoyoteCalifornia,Rottweiler,AndeanFox,FernCave.100bp,0.0247319415068703,0.000596186647930486,41.4835548443112,0,71393
CoyoteCalifornia,Rottweiler,AndeanFox,Castlemaine.99bp,0.0243551221241234,0.000211720804202334,115.034147049848,0,1490560
CoyoteCalifornia,Rottweiler,AndeanFox,Meredith.99bp,0.0250267971226736,0.000207882378720933,120.389218541079,0,1595787
CoyoteCalifornia,SaintBernard,AndeanFox,FernCave.100bp,0.0243232523201778,0.000602072213131718,40.3992275173418,0,71223
CoyoteCalifornia,SaintBernard,AndeanFox,Castlemaine.99bp,0.0243895342187801,0.000213527171474594,114.222157537838,0,1486406
CoyoteCalifornia,SaintBernard,AndeanFox,Meredith.99bp,0.0252200154418826,0.000219037222149415,115.140318135878,0,1593070
CoyoteCalifornia,Saluki,AndeanFox,FernCave.100bp,0.022208901788677,0.000584486826434058,37.9972666350294,0,71319
CoyoteCalifornia,Saluki,AndeanFox,Castlemaine.99bp,0.0224072966775058,0.000211695607119743,105.846772081725,0,1488440
CoyoteCalifornia,Saluki,AndeanFox,Meredith.99bp,0.0230570121517759,0.000204006784332402,113.020810691313,0,1594280
