target,source,p,Dingo_Ancient_Nullarbor,HighlandWildDog,Papua_Indonesia_518bp,se_Dingo_Ancient_Nullarbor,se_HighlandWildDog,se_Papua_Indonesia_518bp,z_Dingo_Ancient_Nullarbor,z_HighlandWildDog,z_Papua_Indonesia_518bp,num_sources,valid
Dingo23,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.503736640148019,0.880240683298212,NA,0.119759316701788,0.0349291253884244,NA,0.0349291253884245,25.2007650781295,NA,3.42863771623312,2,TRUE
Dingo24,Dingo_Ancient_Nullarbor,4.23776307499499e-08,1,NA,NA,1.42195703582876e-14,NA,NA,70325612856310.1,NA,NA,1,FALSE
Dingo24,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.687204163046848,0.793181071528771,NA,0.206818928471229,0.0353400336033549,NA,0.035340033603355,22.4442647800276,NA,5.85225613513833,2,TRUE
Dingo25,Dingo_Ancient_Nullarbor,6.80233529431635e-08,1,NA,NA,2.73730302456546e-13,NA,NA,3653230902920.39,NA,NA,1,FALSE
Dingo25,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.204355131171316,0.787806764771457,NA,0.212193235228543,0.0332940086336444,NA,0.0332940086336444,23.6621181138086,NA,6.37331591889228,2,TRUE
Dingo26,Dingo_Ancient_Nullarbor,0.00151382974149363,1,NA,NA,1.74194098884264e-13,NA,NA,5740722598556.05,NA,NA,1,FALSE
Dingo26,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.636726653471627,0.849962708144458,NA,0.150037291855542,0.0350716098688066,NA,0.0350716098688066,24.2350639541195,NA,4.27802694021719,2,TRUE
Dingo27,Dingo_Ancient_Nullarbor,4.16394163546196e-15,1,NA,NA,1.88403649322292e-13,NA,NA,5307752814752.3,NA,NA,1,FALSE
Dingo27,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.0305284222652201,0.746001594979488,NA,0.253998405020512,0.0326230898370355,NA,0.0326230898370355,22.867288129544,NA,7.78584757879553,2,TRUE
Dingo28,Dingo_Ancient_Nullarbor,3.30703363167948e-08,1,NA,NA,2.06167791124596e-13,NA,NA,4850418169323.33,NA,NA,1,FALSE
Dingo28,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.0590797726738753,0.785506154033165,NA,0.214493845966835,0.0381685222401126,NA,0.0381685222401127,20.5799467187034,NA,5.61965288091284,2,TRUE
Dingo29,Dingo_Ancient_Nullarbor,8.35822163938876e-10,1,NA,NA,2.55956414404772e-13,NA,NA,3906915176654.23,NA,NA,1,FALSE
Dingo29,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.123812407354706,0.780237915923238,NA,0.219762084076762,0.0330869691507342,NA,0.0330869691507343,23.5814260402248,NA,6.64195269973482,2,TRUE
Dingo30,Dingo_Ancient_Nullarbor,0.00549895799115357,1,NA,NA,1.42203128558266e-14,NA,NA,70321940884040.7,NA,NA,1,FALSE
Dingo30,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.154286513508408,0.858972095492665,NA,0.141027904507335,0.042145886412812,NA,0.042145886412812,20.380923705796,NA,3.3461843257012,2,TRUE
Dingo31,Dingo_Ancient_Nullarbor,0.000515787566695022,1,NA,NA,1.5285041890898e-13,NA,NA,6542343862305.58,NA,NA,1,FALSE
Dingo31,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.0264913737887047,0.897502693381424,NA,0.102497306618576,0.030346017320776,NA,0.030346017320776,29.5756337279542,NA,3.3776197230469,2,TRUE
Dingo32,Dingo_Ancient_Nullarbor,2.40300045950456e-05,1,NA,NA,1.10195089518862e-13,NA,NA,9074814534533.62,NA,NA,1,FALSE
Dingo32,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.00132923625869655,0.89222607994522,NA,0.10777392005478,0.0309961354414483,NA,0.0309961354414482,28.7850748887917,NA,3.47701152159324,2,FALSE
Dingo_Alpine_Cooinda,Dingo_Ancient_Nullarbor,1.95263035061801e-06,1,NA,NA,6.75386384827561e-14,NA,NA,14806339340928.8,NA,NA,1,FALSE
Dingo_Alpine_Cooinda,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.174897967463408,0.854608855960805,NA,0.145391144039195,0.0276930366679644,NA,0.0276930366679645,30.8600629901099,NA,5.25009755276801,2,TRUE
Dingo_Ancient_Curracurrang_D10,Dingo_Ancient_Nullarbor,0.00317375776907019,1,NA,NA,2.8434803975872e-13,NA,NA,3516816929170.81,NA,NA,1,FALSE
Dingo_Ancient_Curracurrang_D10,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.707844820979144,0.847544054766612,NA,0.152455945233388,0.0518968857285673,NA,0.0518968857285673,16.3313085721456,NA,2.93767040339892,2,TRUE
Dingo_Ancient_Curracurrang_D13,Dingo_Ancient_Nullarbor,4.93320094617006e-27,1,NA,NA,2.4169562905148e-13,NA,NA,4137435186248.26,NA,NA,1,FALSE
Dingo_Ancient_Curracurrang_D13,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.0660489439613375,0.682427122842476,NA,0.317572877157524,0.0344753789970689,NA,0.0344753789970689,19.7946227915434,NA,9.21158480040274,2,TRUE
Dingo_Ancient_Curracurrang_D16,Dingo_Ancient_Nullarbor,6.57837084654994e-44,1,NA,NA,2.4169562905148e-13,NA,NA,4137435186248.26,NA,NA,1,FALSE
