"pat","wt","dof","chisq","p","f4rank","Dingo_Ancient_Nullarbor","HighlandWildDog","Papua_Indonesia_518bp","feasible","best","dofdiff","chisqdiff","p_nested","target","right","source"
"10",1,4,140.869843418552,1.83828456825246e-29,0,NA,1,NA,TRUE,TRUE,NA,NA,NA,"WA0517","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"00",0,3,0.585283857690931,0.899792878419537,1,1.03204684825482,NA,-0.032046848254819,FALSE,NA,NA,NA,NA,"WA0517","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"01",1,4,2.59663496511572,0.627419340895652,0,1,NA,NA,TRUE,TRUE,0,-622.975493772871,1,"WA0517","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"10",1,4,625.572128737987,4.5224302814862e-134,0,NA,NA,1,TRUE,TRUE,NA,NA,NA,"WA0517","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"0",0,5,12.2522259039872,0.0314904673771591,0,1,NA,NA,TRUE,NA,NA,NA,NA,"WA0741","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor"
"00",0,3,5.85652960825378,0.118802873839224,1,1.08591048785071,-0.0859104878507064,NA,FALSE,NA,NA,NA,NA,"WA0741","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"01",1,4,8.83988284083873,0.0652286549782603,0,1,NA,NA,TRUE,TRUE,0,-121.380533782864,1,"WA0741","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"10",1,4,130.220416623703,3.4935288994224e-27,0,NA,1,NA,TRUE,TRUE,NA,NA,NA,"WA0741","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"00",0,3,1.10003816510609,0.777064870413436,1,1.00168961604649,NA,-0.00168961604649282,FALSE,NA,NA,NA,NA,"WA0741","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"01",1,4,1.31188460226305,0.859355930714575,0,1,NA,NA,TRUE,TRUE,0,-566.568527713235,1,"WA0741","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"10",1,4,567.880412315498,1.38384997234164e-121,0,NA,NA,1,TRUE,TRUE,NA,NA,NA,"WA0741","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"0",0,5,27.157995567976,5.31399711327898e-05,0,1,NA,NA,TRUE,NA,NA,NA,NA,"WA1142","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor"
"00",0,3,13.3718325474166,0.00389775905937138,1,1.1373672273701,-0.137367227370099,NA,FALSE,NA,NA,NA,NA,"WA1142","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"01",1,4,20.7559077696411,0.000353977830848555,0,1,NA,NA,TRUE,TRUE,0,-104.889413262131,1,"WA1142","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"10",1,4,125.645321031772,3.32230962003447e-26,0,NA,1,NA,TRUE,TRUE,NA,NA,NA,"WA1142","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
