pop1,pop2,pop3,est,se,z,p,n
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,HighlandWildDog02,0.185458276131852,0.0023520861356231,78.8484202695753,0,67743
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,HighlandWildDog03,0.181952499960704,0.00239986286104361,75.8178739770073,0,63621
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,LV3003932745,0.23271159778545,0.00284773117779909,81.7182463006583,0,48949
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,McEachernCave.1468bp,0.283300198807156,0.0209304164142616,13.5353350454184,9.67403677696524e-42,503
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,MtGambier.724bp,0.235294117647035,0.0102920657669306,22.8616997768376,1.11791881300407e-115,1887
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,ND0090,0.239341228719467,0.00266497860066615,89.8098126039887,0,54040
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,ND0413,0.234403678229111,0.00292748842441905,80.0698907206191,0,53939
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,ND0934,0.232617390437964,0.00241774094019376,96.2127027634819,0,70257
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,ND1006,0.231215940991908,0.00287663043172285,80.3773534626171,0,54501
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,ND1009,0.231693486889679,0.00286373594380046,80.9060232635131,0,51143
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,ND1012,0.229868552925756,0.00278327099943963,82.5893536676942,0,51884
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,ND1034,0.226122734208986,0.0024187710117843,93.4866232096018,0,70119
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,ND1039,0.228735470235999,0.00243099006709312,94.0914869757208,0,70975
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,ND1099,0.235384699994501,0.00284783544238866,82.6538979362756,0,54549
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,ND1304,0.238184519598133,0.00270009843917284,88.2132725764988,0,56536
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,ND1602,0.223966662149343,0.00246262681915012,90.9462450452143,0,73790
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,ND1603,0.224075870519759,0.00235033929216254,95.3376694449881,0,78344
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,ND1644,0.227645172782328,0.00240540942712308,94.6388461837021,0,70175
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,ND1782,0.229879347054649,0.00284674217236736,80.7517271096879,0,49315
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,NewGuineaSingingDog,0.19932524283843,0.00229472634834965,86.8623149691828,0,80918
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,NewGuineaSingingDog01,0.199003364476933,0.00229597777445634,86.6747782539205,0,82628
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,NewGuineaSingingDog02,0.209638379241903,0.00232968887582098,89.9855690678984,0,82628
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,NewGuineaSingingDog03,0.207332865372513,0.00230208275846004,90.0631676296499,0,82628
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,NewGuineaSingingDog07,0.199100183957013,0.00229635189031413,86.7028197188788,0,82628
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,NewGuineaSingingDog08,0.208848695357506,0.00230684982997894,90.5341529575908,0,82628
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,NewGuineaSingingDog09,0.207611221377741,0.00228910264191067,90.6954618707934,0,82628
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,NewGuineaSingingDog10,0.207989422471801,0.00225930385177754,92.0590748819207,0,82628
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,NewGuineaSingingDog11,0.207390351938809,0.00232099116977234,89.354218421758,0,82628
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,NewGuineaSingingDog12,0.208322239434573,0.00228632014430848,91.1168280405376,0,82628
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,NewGuineaSingingDog13,0.208231471172,0.00227036791897096,91.7170602315332,0,82628
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,NewGuineaSingingDog14,0.20813465169192,0.00228881029939213,90.935737115128,0,82628
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,NewGuineaSingingDog15,0.207502299462653,0.00230184735233863,90.1459861149499,0,82628
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,NewGuineaSingingDog16,0.207178559326137,0.00227571849995964,91.03874636947,0,82628
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,NewGuineaSingingDog17,0.207469017766374,0.0022812966462124,90.9434632759536,0,82628
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,NGSD1,0.210177325191249,0.00247494467696121,84.9220296307026,0,59608
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,NGSD2,0.206073847118013,0.00248766443192036,82.8382817528701,0,57443
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,NGSD3,0.204353107123265,0.00252513387747138,80.9276327669011,0,51044
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,Nunderah.983bp,0.254436915133909,0.00817553927794678,31.1217286693543,1.22423312112042e-212,3099
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,Papua_Indonesia_518bp,0.207003510994957,0.00235816166982314,87.7817299992335,0,75762
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,TowerHill.460bp,0.271047227926071,0.0210713738135558,12.8632917020198,7.2425468991924e-38,487
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,WA0021,0.22290036092299,0.00241421689619086,92.3282250549571,0,73977
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,WA0164,0.223456034895475,0.00248175866914493,90.0393892740848,0,75196
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,WA0517,0.220711569873581,0.00236111390082322,93.4777309119348,0,72853
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,WA0741,0.226089041095889,0.00239934135922024,94.2296269045126,0,73000
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,WA1142,0.222908998773136,0.00249508241612144,89.3393329746776,0,74988
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,wdi0817,0.223885553371236,0.00236353311152059,94.724948967268,0,75284
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,wdi0828,0.223256984646363,0.00238301409643695,93.6868082233225,0,75487
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D13,wdi0964,0.222682106946644,0.00264420898380101,84.2150179168296,0,67529
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,di0247,0.236866946778711,0.00206407362277866,114.757024247924,0,357000
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,di0678,0.250893355762873,0.00228760845782097,109.674955478114,0,291877
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,di0794,0.248003819693643,0.00218943207470411,113.273128022096,0,333011
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,di1085,0.23749061888388,0.00200104083348579,118.683544538256,0,407734
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,di1426,0.248689756829212,0.0025180400683884,98.7632246012584,0,232018
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,di1436,0.250107457380625,0.00230863428853109,108.335676474666,0,309425
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,di1522,0.245156984857425,0.00200733759220783,122.130420816651,0,394847
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo02,0.236930842929813,0.00207629096276493,114.112543559068,0,320430
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo03,0.218621742773194,0.00199492644589135,109.588873927386,0,259001
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo04,0.225619060331719,0.00195578231359186,115.36000646072,0,382071
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo05,0.236078768756358,0.00225265008843378,104.800461451383,0,251648
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo06,0.239165721844293,0.00212877117563529,112.34919214505,0,264600
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo07,0.228550028604981,0.00186600968094084,122.480623192558,0,398532
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo08,0.236601581846288,0.00231881629919078,102.035500582283,0,266524
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo09,0.233431114847058,0.00194560214566333,119.97885352222,0,290273
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo10,0.21737200208744,0.00183297996694977,118.589404143442,0,404323
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo12,0.233598702520229,0.00214397590482702,108.955843204346,0,310448
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo13,0.236004815963693,0.00212788435944948,110.910545921185,0,309803
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo14,0.235102521650535,0.00203841827835465,115.335760156302,0,314080
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo15,0.23653704075747,0.00208179990072537,113.62141033586,0,308606
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo16,0.235543212164987,0.00206331486259759,114.157667564345,0,312898
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo17,0.232131611568878,0.00210420000242359,110.318226072385,0,301706
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo18,0.222371741534753,0.00210646366874423,105.566378777052,0,292047
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo19,0.233679011330351,0.00197994734220739,118.022841491243,0,316142
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo20,0.2282463890811,0.00233606612749223,97.7054486578779,0,232697
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo21,0.228686602677386,0.0020241155778422,112.98100028516,0,346308
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo22,0.231541680706653,0.00207371700962305,111.655389637153,0,332384
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo23,0.234382112587518,0.00225370710883192,103.998479513603,0,276798
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo24,0.240426594170682,0.00227611674634652,105.630167941341,0,274406
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo25,0.238717554316478,0.00225440958260748,105.889167681932,0,260050
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo26,0.236776237182516,0.00222714518378082,106.313786324681,0,260289
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo27,0.240015731551104,0.00207902675693186,115.446196520005,0,294313
CoyoteCalifornia,Dingo_Ancient_Curracurrang_D16,Dingo28,0.239684662899681,0.00206598727396915,116.014588240518,0,326698
