pop1,pop2,pop3,est,se,z,p,n
CoyoteCalifornia,di0678,Dingo_Kimberley_D09,0.112658257358279,0.0009750700360259,115.538631273545,0,3731817
CoyoteCalifornia,di0678,Dingo_Northern_Queensland_D04,0.114588522736626,0.000951795535103268,120.391952378925,0,3693424
CoyoteCalifornia,di0678,Dingo_Northern_Queensland_D10,0.113957864222216,0.00095831315302015,118.915058050779,0,3642083
CoyoteCalifornia,di0678,Dingo_Northern_Territory_D06,0.113835577840983,0.00105511869865191,107.888883010439,0,2853484
CoyoteCalifornia,di0678,Dingo_Simpson_Desert_D03,0.113117997529996,0.000987102269795389,114.596026157901,0,3373274
CoyoteCalifornia,di0678,DO-CO-159148,0.113312727302991,0.000997785109583714,113.564259693418,0,3123034
CoyoteCalifornia,di0678,DO-CO-167564,0.111416033386408,0.00102367492837033,108.839271431391,0,2260321
CoyoteCalifornia,di0678,DO-CO-167565,0.113575749077466,0.00102126683185508,111.210650865026,0,3180679
CoyoteCalifornia,di0678,DO-CO-167767,0.113414133376907,0.000984273641869431,115.226222213468,0,3518975
CoyoteCalifornia,di0678,DO-CO-168535,0.112997208933078,0.000979231820613846,115.393726546022,0,3365738
CoyoteCalifornia,di0678,DO-CO-169117,0.113376432823102,0.00100980594901486,112.275465334413,0,3121460
CoyoteCalifornia,di0678,DO-CO-170078,0.114171882736359,0.00102811024967194,111.05023296168,0,3247656
CoyoteCalifornia,di0678,DO-CO-170282,0.112288772843769,0.00101638650059786,110.478418178241,0,3108561
CoyoteCalifornia,di0678,DO-CO-170647,0.113285473054799,0.000983702557169271,115.16232445384,0,3509382
CoyoteCalifornia,di0678,DO-CO-175110,0.114351528857016,0.00101904293466789,112.214632933286,0,3159092
CoyoteCalifornia,di0678,Elly01,0.115198057954035,0.00112509915801215,102.389249101892,0,2596437
CoyoteCalifornia,di0678,Gatton.838bp,0.114743902234026,0.00115224511839991,99.582892912029,0,237956
CoyoteCalifornia,di0678,HF014,0.117531182495755,0.00106387260264327,110.474865321035,0,2925279
CoyoteCalifornia,di0678,HF081,0.116958437376272,0.000986306687301701,118.58222080623,0,2737652
CoyoteCalifornia,di0678,HF093,0.116659833689477,0.0011125180223406,104.861073121349,0,2414760
CoyoteCalifornia,di0678,HF145,0.117197938636343,0.00105899745610248,110.668763141016,0,2908366
CoyoteCalifornia,di0678,HF154,0.115721433455558,0.00109109378850501,106.060024055417,0,2525673
CoyoteCalifornia,di0678,HF225,0.117261919666693,0.00113529645957808,103.287488195173,0,2476034
CoyoteCalifornia,di0678,HighlandWildDog02,0.100057658873789,0.00106298957100738,94.1285423703317,0,3126145
CoyoteCalifornia,di0678,HighlandWildDog03,0.0983634677650398,0.00112376046029313,87.530635967902,0,2919252
CoyoteCalifornia,di0678,LV3003932745,0.11705532163814,0.0010957593875988,106.825752955354,0,2461695
CoyoteCalifornia,di0678,McEachernCave.1468bp,0.119880879923485,0.0024224501423175,49.4874498464591,0,23002
CoyoteCalifornia,di0678,MtGambier.724bp,0.118003687615249,0.00145516076645473,81.0932306144745,0,95997
CoyoteCalifornia,di0678,ND0090,0.115099242937933,0.00107865385199454,106.706375474489,0,2650113
CoyoteCalifornia,di0678,ND0413,0.11862545267449,0.001064708371807,111.415910511873,0,2829848
CoyoteCalifornia,di0678,ND0934,0.114430074957323,0.000974748973096449,117.394404216521,0,3416344
CoyoteCalifornia,di0678,ND1006,0.116446093116377,0.00110233520719332,105.635828699387,0,2765593
CoyoteCalifornia,di0678,ND1009,0.119580264843988,0.00107981499014479,110.74143805686,0,2661869
