target,source,right,pat,wt,dof,chisq,p,f4rank,Dingo_Ancient_Nullarbor,HighlandWildDog,Papua_Indonesia_518bp,feasible,best,dofdiff,chisqdiff,p_nested,weight_Dingo_Ancient_Nullarbor,weight_HighlandWildDog,weight_Papua_Indonesia_518bp,se_Dingo_Ancient_Nullarbor,se_HighlandWildDog,se_Papua_Indonesia_518bp,z_Dingo_Ancient_Nullarbor,z_HighlandWildDog,z_Papua_Indonesia_518bp,num_sources,num_right,all_above_3,sum_above_3,rank
Dingo22,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,6.5770409411088,0.0866732162665544,1,0.839998885491184,NA,0.160001114508816,TRUE,NA,NA,NA,NA,0.839998885491184,NA,0.160001114508816,0.0298373854516278,NA,0.0298373854516279,28.1525633957769,NA,5.36243749534318,2,5,TRUE,2,1
Dingo23,Dingo_Ancient_Nullarbor,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp,0,0,5,14.1935660918315,0.0144255012166931,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,3.91035855740449e-14,NA,NA,25573102448788.1,NA,NA,1,6,TRUE,1,1
Dingo24,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,1.47866049022555,0.687204163046848,1,0.793181071528771,NA,0.206818928471229,TRUE,NA,NA,NA,NA,0.793181071528771,NA,0.206818928471229,0.0353400336033549,NA,0.035340033603355,22.4442647800276,NA,5.85225613513833,2,5,TRUE,2,1
Dingo25,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,4.59053977700827,0.204355131171316,1,0.787806764771457,NA,0.212193235228543,TRUE,NA,NA,NA,NA,0.787806764771457,NA,0.212193235228543,0.0332940086336444,NA,0.0332940086336444,23.6621181138086,NA,6.37331591889228,2,5,TRUE,2,1
Dingo26,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,1.70093180705921,0.636726653471627,1,0.849962708144458,NA,0.150037291855542,TRUE,NA,NA,NA,NA,0.849962708144458,NA,0.150037291855542,0.0350716098688066,NA,0.0350716098688066,24.2350639541195,NA,4.27802694021719,2,5,TRUE,2,1
Dingo27,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,8.90879401135551,0.0305284222652201,1,0.746001594979488,NA,0.253998405020512,TRUE,NA,NA,NA,NA,0.746001594979488,NA,0.253998405020512,0.0326230898370355,NA,0.0326230898370355,22.867288129544,NA,7.78584757879553,2,5,TRUE,2,1
Dingo28,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,7.44153797112469,0.0590797726738753,1,0.785506154033165,NA,0.214493845966835,TRUE,NA,NA,NA,NA,0.785506154033165,NA,0.214493845966835,0.0381685222401126,NA,0.0381685222401127,20.5799467187034,NA,5.61965288091284,2,5,TRUE,2,1
Dingo29,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,5.76142208016081,0.123812407354706,1,0.780237915923238,NA,0.219762084076762,TRUE,NA,NA,NA,NA,0.780237915923238,NA,0.219762084076762,0.0330869691507342,NA,0.0330869691507343,23.5814260402248,NA,6.64195269973482,2,5,TRUE,2,1
Dingo30,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,5.25141098870563,0.154286513508408,1,0.858972095492665,NA,0.141027904507335,TRUE,NA,NA,NA,NA,0.858972095492665,NA,0.141027904507335,0.042145886412812,NA,0.042145886412812,20.380923705796,NA,3.3461843257012,2,5,TRUE,2,1
Dingo31,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,9.22108513653303,0.0264913737887047,1,0.897502693381424,NA,0.102497306618576,TRUE,NA,NA,NA,NA,0.897502693381424,NA,0.102497306618576,0.030346017320776,NA,0.030346017320776,29.5756337279542,NA,3.3776197230469,2,5,TRUE,2,1
